[PokaPoka @ 99151ms/12s/1m/20h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 40718ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(718-572)] with expected peak @ (x:718, y:100)
[PokaPoka @ 56931ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(715-568)] with expected peak @ (x:715, y:100)
[PokaPoka @ 73466ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(712-562)] with expected peak @ (x:712, y:100)
[PokaPoka @ 89266ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(709-554)] with expected peak @ (x:709, y:100)
[PokaPoka @ 106463ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(706-544)] with expected peak @ (x:706, y:100)
[PokaPoka @ 121749ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(703-532)] with expected peak @ (x:703, y:100)
[PokaPoka @ 138877ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(700-518)] with expected peak @ (x:700, y:100)
[PokaPoka @ 155486ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(697-502)] with expected peak @ (x:697, y:100)
[PokaPoka @ 170840ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(694-484)] with expected peak @ (x:694, y:100)
[PokaPoka @ 694589ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(598-674)] with expected peak @ (x:598, y:100)
[PokaPoka @ 713852ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595-674)] with expected peak @ (x:595, y:100)
[PokaPoka @ 727813ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(592-672)] with expected peak @ (x:592, y:100)
[PokaPoka @ 745764ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(589-668)] with expected peak @ (x:589, y:100)
[PokaPoka @ 760891ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(586-662)] with expected peak @ (x:586, y:100)
