[PokaPoka @ 539136ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-718)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 551108ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(548.0-716)] with expected peak @ (x:548.0, y:100)
[PokaPoka @ 565067ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(551.0-712)] with expected peak @ (x:551.0, y:100)
[PokaPoka @ 581025ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(554.0-706)] with expected peak @ (x:554.0, y:100)
[PokaPoka @ 596981ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-698)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 609945ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-725)] with expected peak @ (x:965, y:100)
[PokaPoka @ 609945ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(560.0-688)] with expected peak @ (x:560.0, y:100)
[PokaPoka @ 624905ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-703)] with expected peak @ (x:965, y:100)
[PokaPoka @ 624905ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(563.0-676)] with expected peak @ (x:563.0, y:100)
[PokaPoka @ 639180ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-679)] with expected peak @ (x:965, y:100)
[PokaPoka @ 639180ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(566.0-662)] with expected peak @ (x:566.0, y:100)
[PokaPoka @ 654289ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-653)] with expected peak @ (x:965, y:100)
[PokaPoka @ 654289ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(569.0-646)] with expected peak @ (x:569.0, y:100)
[PokaPoka @ 668255ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-625)] with expected peak @ (x:965, y:100)
[PokaPoka @ 668255ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(572.0-628)] with expected peak @ (x:572.0, y:100)
[PokaPoka @ 840644ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-720)] with expected peak @ (x:679, y:100)
[PokaPoka @ 854039ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-696)] with expected peak @ (x:679, y:100)
[PokaPoka @ 868533ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-670)] with expected peak @ (x:679, y:100)
[PokaPoka @ 881503ms/44s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-642)] with expected peak @ (x:679, y:100)
[PokaPoka @ 7198ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(644.0-718)] with expected peak @ (x:644.0, y:100)
[PokaPoka @ 23123ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(647.0-718)] with expected peak @ (x:647.0, y:100)
[PokaPoka @ 37692ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(650.0-716)] with expected peak @ (x:650.0, y:100)
[PokaPoka @ 50629ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-727)] with expected peak @ (x:965, y:100)
