[PokaPoka @ 418112ms/27s/10m/1h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 990906ms/27s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 455874ms/30s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 260865ms/32s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(2) --> removed from inventory
[PokaPoka @ 813233ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(462-712)] with expected peak @ (x:462, y:100)
[PokaPoka @ 828942ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(465-706)] with expected peak @ (x:465, y:100)
[PokaPoka @ 842907ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(468-698)] with expected peak @ (x:468, y:100)
[PokaPoka @ 856904ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(471-688)] with expected peak @ (x:471, y:100)
[PokaPoka @ 869863ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(474-676)] with expected peak @ (x:474, y:100)
[PokaPoka @ 883799ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(477-662)] with expected peak @ (x:477, y:100)
[PokaPoka @ 897759ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(480-646)] with expected peak @ (x:480, y:100)
[PokaPoka @ 913716ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(483-628)] with expected peak @ (x:483, y:100)
[PokaPoka @ 928680ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(486-608)] with expected peak @ (x:486, y:100)
[PokaPoka @ 943668ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(489-586)] with expected peak @ (x:489, y:100)
[PokaPoka @ 957597ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(492-562)] with expected peak @ (x:492, y:100)
[PokaPoka @ 970567ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(495-536)] with expected peak @ (x:495, y:100)
[PokaPoka @ 984526ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(498-508)] with expected peak @ (x:498, y:100)
[PokaPoka @ 997490ms/36s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(501-478)] with expected peak @ (x:501, y:100)
[PokaPoka @ 11455ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(504-446)] with expected peak @ (x:504, y:100)
[PokaPoka @ 26411ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(507-412)] with expected peak @ (x:507, y:100)
[PokaPoka @ 40377ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(510-376)] with expected peak @ (x:510, y:100)
[PokaPoka @ 53344ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(513-338)] with expected peak @ (x:513, y:100)
[PokaPoka @ 67216ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(516-298)] with expected peak @ (x:516, y:100)
[PokaPoka @ 80221ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(519-256)] with expected peak @ (x:519, y:100)
[PokaPoka @ 94175ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(522-212)] with expected peak @ (x:522, y:100)
[PokaPoka @ 108099ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(525-166)] with expected peak @ (x:525, y:100)
[PokaPoka @ 121066ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(528-118)] with expected peak @ (x:528, y:100)
[PokaPoka @ 135030ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(531-68)] with expected peak @ (x:531, y:100)
[PokaPoka @ 146997ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(534-16)] with expected peak @ (x:534, y:100)
