[PokaPoka @ 929903ms/56s/44m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 680636ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-470)] with expected peak @ (x:280, y:100)
[PokaPoka @ 686619ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-548)] with expected peak @ (x:245, y:100)
[PokaPoka @ 716644ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-464)] with expected peak @ (x:280, y:100)
[PokaPoka @ 723624ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-538)] with expected peak @ (x:245, y:100)
[PokaPoka @ 754674ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-456)] with expected peak @ (x:280, y:100)
[PokaPoka @ 761666ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-526)] with expected peak @ (x:245, y:100)
[PokaPoka @ 791988ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-446)] with expected peak @ (x:280, y:100)
[PokaPoka @ 800711ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-512)] with expected peak @ (x:245, y:100)
[PokaPoka @ 842550ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-434)] with expected peak @ (x:280, y:100)
[PokaPoka @ 851003ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-496)] with expected peak @ (x:245, y:100)
[PokaPoka @ 879118ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-420)] with expected peak @ (x:280, y:100)
[PokaPoka @ 886096ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-478)] with expected peak @ (x:245, y:100)
[PokaPoka @ 921048ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-404)] with expected peak @ (x:280, y:100)
[PokaPoka @ 958670ms/12s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-386)] with expected peak @ (x:280, y:100)
[PokaPoka @ 441931ms/13s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-622)] with expected peak @ (x:295, y:100)
[PokaPoka @ 476473ms/13s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-620)] with expected peak @ (x:295, y:100)
[PokaPoka @ 514371ms/13s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-616)] with expected peak @ (x:295, y:100)
[PokaPoka @ 555556ms/13s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-610)] with expected peak @ (x:295, y:100)
[PokaPoka @ 602747ms/13s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-602)] with expected peak @ (x:295, y:100)
[PokaPoka @ 652638ms/13s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-592)] with expected peak @ (x:295, y:100)
[PokaPoka @ 714475ms/13s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-580)] with expected peak @ (x:295, y:100)
[PokaPoka @ 770515ms/13s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-566)] with expected peak @ (x:295, y:100)
[PokaPoka @ 829189ms/13s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-550)] with expected peak @ (x:295, y:100)
[PokaPoka @ 887643ms/13s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-532)] with expected peak @ (x:295, y:100)
[PokaPoka @ 1598ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-568)] with expected peak @ (x:245, y:100)
[PokaPoka @ 32713ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-466)] with expected peak @ (x:280, y:100)
[PokaPoka @ 40652ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-566)] with expected peak @ (x:245, y:100)
[PokaPoka @ 68414ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-464)] with expected peak @ (x:280, y:100)
[PokaPoka @ 74400ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-562)] with expected peak @ (x:245, y:100)
[PokaPoka @ 108509ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-460)] with expected peak @ (x:280, y:100)
[PokaPoka @ 115461ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-556)] with expected peak @ (x:245, y:100)
[PokaPoka @ 147588ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-454)] with expected peak @ (x:280, y:100)
[PokaPoka @ 152574ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-548)] with expected peak @ (x:245, y:100)
[PokaPoka @ 184520ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-446)] with expected peak @ (x:280, y:100)
[PokaPoka @ 191528ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-538)] with expected peak @ (x:245, y:100)
[PokaPoka @ 224548ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-436)] with expected peak @ (x:280, y:100)
[PokaPoka @ 232573ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-526)] with expected peak @ (x:245, y:100)
[PokaPoka @ 264593ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-424)] with expected peak @ (x:280, y:100)
[PokaPoka @ 272571ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-512)] with expected peak @ (x:245, y:100)
[PokaPoka @ 306932ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-410)] with expected peak @ (x:280, y:100)
[PokaPoka @ 317742ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-496)] with expected peak @ (x:245, y:100)
[PokaPoka @ 358528ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-394)] with expected peak @ (x:280, y:100)
[PokaPoka @ 365525ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-478)] with expected peak @ (x:245, y:100)
[PokaPoka @ 393457ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-376)] with expected peak @ (x:280, y:100)
[PokaPoka @ 914395ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-622)] with expected peak @ (x:295, y:100)
[PokaPoka @ 947535ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-620)] with expected peak @ (x:295, y:100)
[PokaPoka @ 980618ms/14s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-616)] with expected peak @ (x:295, y:100)
[PokaPoka @ 13089ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-610)] with expected peak @ (x:295, y:100)
[PokaPoka @ 47672ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-602)] with expected peak @ (x:295, y:100)
[PokaPoka @ 89185ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-592)] with expected peak @ (x:295, y:100)
[PokaPoka @ 128363ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-580)] with expected peak @ (x:295, y:100)
[PokaPoka @ 169791ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-566)] with expected peak @ (x:295, y:100)
[PokaPoka @ 207744ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-550)] with expected peak @ (x:295, y:100)
[PokaPoka @ 249606ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-532)] with expected peak @ (x:295, y:100)
[PokaPoka @ 396411ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-568)] with expected peak @ (x:245, y:100)
[PokaPoka @ 435937ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-466)] with expected peak @ (x:280, y:100)
[PokaPoka @ 442921ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-566)] with expected peak @ (x:245, y:100)
[PokaPoka @ 480517ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-464)] with expected peak @ (x:280, y:100)
[PokaPoka @ 486502ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-562)] with expected peak @ (x:245, y:100)
[PokaPoka @ 521061ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-460)] with expected peak @ (x:280, y:100)
[PokaPoka @ 530037ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-556)] with expected peak @ (x:245, y:100)
[PokaPoka @ 566681ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-454)] with expected peak @ (x:280, y:100)
[PokaPoka @ 579520ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-548)] with expected peak @ (x:245, y:100)
[PokaPoka @ 634498ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-446)] with expected peak @ (x:280, y:100)
[PokaPoka @ 646465ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-538)] with expected peak @ (x:245, y:100)
[PokaPoka @ 674809ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-436)] with expected peak @ (x:280, y:100)
