[PokaPoka @ 203638ms/57s/28m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 151270ms/59s/28m/8h, 28d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 68054ms/21s/29m/8h, 28d/6mo/2021y] --> Mouse interacted with hotbar slot(8) --> removed from inventory
[PokaPoka @ 113477ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-618)] with expected peak @ (x:978, y:100)
[PokaPoka @ 130493ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-602)] with expected peak @ (x:978, y:100)
[PokaPoka @ 149521ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-584)] with expected peak @ (x:978, y:100)
[PokaPoka @ 642485ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-674)] with expected peak @ (x:978, y:100)
[PokaPoka @ 668413ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-672)] with expected peak @ (x:978, y:100)
[PokaPoka @ 695494ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-668)] with expected peak @ (x:978, y:100)
[PokaPoka @ 721963ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-662)] with expected peak @ (x:978, y:100)
[PokaPoka @ 743575ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-654)] with expected peak @ (x:978, y:100)
[PokaPoka @ 758996ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-644)] with expected peak @ (x:978, y:100)
[PokaPoka @ 773960ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-632)] with expected peak @ (x:978, y:100)
[PokaPoka @ 790980ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-618)] with expected peak @ (x:978, y:100)
[PokaPoka @ 806939ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-602)] with expected peak @ (x:978, y:100)
[PokaPoka @ 826930ms/26s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-584)] with expected peak @ (x:978, y:100)
[PokaPoka @ 316186ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-674)] with expected peak @ (x:978, y:100)
[PokaPoka @ 332712ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-672)] with expected peak @ (x:978, y:100)
[PokaPoka @ 349698ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-668)] with expected peak @ (x:978, y:100)
[PokaPoka @ 365622ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-662)] with expected peak @ (x:978, y:100)
[PokaPoka @ 381168ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-654)] with expected peak @ (x:978, y:100)
[PokaPoka @ 397156ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-644)] with expected peak @ (x:978, y:100)
[PokaPoka @ 413045ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-632)] with expected peak @ (x:978, y:100)
[PokaPoka @ 429020ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-618)] with expected peak @ (x:978, y:100)
[PokaPoka @ 444982ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-602)] with expected peak @ (x:978, y:100)
[PokaPoka @ 462000ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-584)] with expected peak @ (x:978, y:100)
[PokaPoka @ 952632ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-674)] with expected peak @ (x:978, y:100)
[PokaPoka @ 970550ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-672)] with expected peak @ (x:978, y:100)
[PokaPoka @ 989070ms/27s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-668)] with expected peak @ (x:978, y:100)
[PokaPoka @ 10635ms/28s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-662)] with expected peak @ (x:978, y:100)
[PokaPoka @ 30176ms/28s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-654)] with expected peak @ (x:978, y:100)
