[PokaPoka @ 376403ms/29s/15m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 579013ms/30s/15m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 6852ms/32s/15m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 99557ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(509.0-706)] with expected peak @ (x:509.0, y:100)
[PokaPoka @ 113518ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-698)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 126519ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(503.0-688)] with expected peak @ (x:503.0, y:100)
[PokaPoka @ 139449ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-676)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 152444ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(497.0-662)] with expected peak @ (x:497.0, y:100)
[PokaPoka @ 167549ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(494.0-646)] with expected peak @ (x:494.0, y:100)
[PokaPoka @ 183309ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(491.0-628)] with expected peak @ (x:491.0, y:100)
[PokaPoka @ 197668ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(488.0-608)] with expected peak @ (x:488.0, y:100)
[PokaPoka @ 210636ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(485.0-586)] with expected peak @ (x:485.0, y:100)
[PokaPoka @ 223633ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(482.0-562)] with expected peak @ (x:482.0, y:100)
[PokaPoka @ 236595ms/43s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(479.0-536)] with expected peak @ (x:479.0, y:100)
[PokaPoka @ 512019ms/44s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(554.0-718)] with expected peak @ (x:554.0, y:100)
[PokaPoka @ 524988ms/44s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(551.0-718)] with expected peak @ (x:551.0, y:100)
[PokaPoka @ 537919ms/44s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(548.0-716)] with expected peak @ (x:548.0, y:100)
[PokaPoka @ 551913ms/44s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-712)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 567841ms/44s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(542.0-706)] with expected peak @ (x:542.0, y:100)
[PokaPoka @ 582801ms/44s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(539.0-698)] with expected peak @ (x:539.0, y:100)
[PokaPoka @ 597760ms/44s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(536.0-688)] with expected peak @ (x:536.0, y:100)
[PokaPoka @ 610727ms/44s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(533.0-676)] with expected peak @ (x:533.0, y:100)
[PokaPoka @ 623693ms/44s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-662)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 636685ms/44s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-646)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 651372ms/44s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-628)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 372696ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(368.0-718)] with expected peak @ (x:368.0, y:100)
